support,itemsets
0.9611245628194781,frozenset({'Entrep. Activities_None'})
0.9552058111380145,frozenset({'Other Income NEC_None'})
0.8488027979553403,frozenset({'Livestocks_None'})
0.7153618509550713,frozenset({'Farming_None'})
0.6802528921172989,frozenset({'Logistics and Manufacturing_None'})
0.3299704062415927,frozenset({'Passive Income_Medium'})
0.32983588915792306,frozenset({'Salaries/Wages_Medium'})
0.24401398977670163,frozenset({'Cash Receipts_None'})
0.34005918751681463,frozenset({'Passive Income_High'})
0.33965563626580575,frozenset({'Salaries/Wages_High'})
0.32082324455205813,frozenset({'Cash Receipts_Medium'})
0.3197471078827011,frozenset({'Logistics and Manufacturing_High'})
0.1213344094700027,frozenset({'Salaries/Wages_Low'})
0.2846381490449287,frozenset({'Farming_High'})
0.339924670433145,frozenset({'Cash Receipts_High'})
0.15119720204465967,frozenset({'Livestocks_High'})
0.2091740651062685,frozenset({'Salaries/Wages_None'})
0.24441754102771052,frozenset({'Passive Income_Low'})
0.9195587839655637,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None'})"
0.8145009416195856,"frozenset({'Entrep. Activities_None', 'Livestocks_None'})"
0.8123486682808717,"frozenset({'Other Income NEC_None', 'Livestocks_None'})"
0.7810061877858488,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Livestocks_None'})"
0.6875168146354587,"frozenset({'Farming_None', 'Other Income NEC_None'})"
0.6830777508743611,"frozenset({'Farming_None', 'Entrep. Activities_None'})"
0.6408393866020985,"frozenset({'Farming_None', 'Livestocks_None'})"
0.657923056228141,"frozenset({'Farming_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.6167608286252354,"frozenset({'Farming_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.6113801452784504,"frozenset({'Farming_None', 'Entrep. Activities_None', 'Livestocks_None'})"
0.5898574118913102,"frozenset({'Farming_None', 'Other Income NEC_None', 'Entrep. Activities_None', 'Livestocks_None'})"
0.6576540220608017,"frozenset({'Logistics and Manufacturing_None', 'Entrep. Activities_None'})"
0.6532149582997041,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.5742534301856336,"frozenset({'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.46879203658864677,"frozenset({'Farming_None', 'Logistics and Manufacturing_None'})"
0.6326338444982513,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Logistics and Manufacturing_None'})"
0.5544794188861986,"frozenset({'Logistics and Manufacturing_None', 'Entrep. Activities_None', 'Livestocks_None'})"
0.5529997309658327,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.5351089588377724,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.45278450363196127,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None'})"
0.44982512779122946,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Entrep. Activities_None'})"
0.4184826472962066,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.43570083400591875,"frozenset({'Entrep. Activities_None', 'Farming_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.4052999730965833,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.4012644605864945,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Entrep. Activities_None', 'Livestocks_None'})"
0.3898305084745763,"frozenset({'Entrep. Activities_None', 'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.3178638687113263,"frozenset({'Passive Income_Medium', 'Entrep. Activities_None'})"
0.3146354587032553,"frozenset({'Other Income NEC_None', 'Passive Income_Medium'})"
0.26634382566585957,"frozenset({'Passive Income_Medium', 'Livestocks_None'})"
0.226257734732311,"frozenset({'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.21482378262039278,"frozenset({'Farming_None', 'Passive Income_Medium'})"
0.10209846650524616,"frozenset({'Cash Receipts_High', 'Passive Income_Medium'})"
0.3037395749260156,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Entrep. Activities_None'})"
0.25585149313962874,"frozenset({'Passive Income_Medium', 'Entrep. Activities_None', 'Livestocks_None'})"
0.2546408393866021,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Livestocks_None'})"
0.24522464352972828,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Entrep. Activities_None', 'Livestocks_None'})"
0.21980091471616894,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.21724509012644605,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.18227064837234327,"frozenset({'Passive Income_Medium', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.21159537261232175,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None', 'Entrep. Activities_None'})"
0.17675544794188863,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.1756793112725316,"frozenset({'Other Income NEC_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.17083669626042508,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.20527306967984935,"frozenset({'Farming_None', 'Passive Income_Medium', 'Entrep. Activities_None'})"
0.2050040355125101,"frozenset({'Farming_None', 'Passive Income_Medium', 'Other Income NEC_None'})"
0.1833467850417003,"frozenset({'Farming_None', 'Passive Income_Medium', 'Livestocks_None'})"
0.1415119720204466,"frozenset({'Farming_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.1962604250739844,"frozenset({'Farming_None', 'Passive Income_Medium', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.17541027710519236,"frozenset({'Farming_None', 'Passive Income_Medium', 'Other Income NEC_None', 'Livestocks_None'})"
0.17500672585418348,"frozenset({'Farming_None', 'Passive Income_Medium', 'Entrep. Activities_None', 'Livestocks_None'})"
0.16774280333602368,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Farming_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.13640032284100082,"frozenset({'Entrep. Activities_None', 'Farming_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.1362658057573312,"frozenset({'Farming_None', 'Passive Income_Medium', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.12012375571697606,"frozenset({'Farming_None', 'Passive Income_Medium', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.1318267419962335,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None'})"
0.11608824320688728,"frozenset({'Passive Income_Medium', 'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.1156846919558784,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Farming_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.11218724778046812,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium', 'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.3163841807909605,"frozenset({'Entrep. Activities_None', 'Salaries/Wages_Medium'})"
0.3120796341135324,"frozenset({'Other Income NEC_None', 'Salaries/Wages_Medium'})"
0.2819478073715362,"frozenset({'Livestocks_None', 'Salaries/Wages_Medium'})"
0.2397094430992736,"frozenset({'Farming_None', 'Salaries/Wages_Medium'})"
0.22854452515469464,"frozenset({'Logistics and Manufacturing_None', 'Salaries/Wages_Medium'})"
0.12052730696798493,"frozenset({'Passive Income_Medium', 'Salaries/Wages_Medium'})"
0.11972020446596718,"frozenset({'Passive Income_High', 'Salaries/Wages_Medium'})"
0.10976594027441484,"frozenset({'Cash Receipts_High', 'Salaries/Wages_Medium'})"
0.29970406241592684,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Salaries/Wages_Medium'})"
0.2701103040086091,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.2674199623352166,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.2565240785579769,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.22854452515469464,"frozenset({'Farming_None', 'Other Income NEC_None', 'Salaries/Wages_Medium'})"
0.22841000807102502,"frozenset({'Farming_None', 'Entrep. Activities_None', 'Salaries/Wages_Medium'})"
0.2149582997040624,"frozenset({'Farming_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.21818670971213344,"frozenset({'Farming_None', 'Other Income NEC_None', 'Entrep. Activities_None', 'Salaries/Wages_Medium'})"
0.20513855259617972,"frozenset({'Farming_None', 'Other Income NEC_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.20486951842884046,"frozenset({'Farming_None', 'Entrep. Activities_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.1958568738229755,"frozenset({'Entrep. Activities_None', 'Farming_None', 'Other Income NEC_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.22141511972020447,"frozenset({'Logistics and Manufacturing_None', 'Entrep. Activities_None', 'Salaries/Wages_Medium'})"
0.2169760559591068,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Salaries/Wages_Medium'})"
0.19357008340059187,"frozenset({'Logistics and Manufacturing_None', 'Livestocks_None', 'Salaries/Wages_Medium'})"
0.15980629539951574,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Salaries/Wages_Medium'})"
